project,symbol,chain,apy,tvlUsd
morpho-blue,1337USDC,Ethereum,297994.96276,11404939
morpho-blue,AUSD,Arbitrum,297994.82709,1428327
morpho-blue,CSYUSDC,Ethereum,133843.07643,2219296
morpho-blue,ADPUSDC,Ethereum,5359.81485,21393242
gmtrade,USDCHF-USDC,Solana,167.64819,1548055
yearn-finance,USDC,Base,153.52384,1826656
curve-dex,IDAI-IUSDC-IUSDT,Ethereum,124.78,1614828
gmtrade,USDCAD-USDC,Solana,105.78751,1309355
morpho-blue,AUGUSTAUSD,Ethereum,103.06634,8032737
morpho-blue,AUGUSTAUSDV2,Ethereum,100.88617,8032628
gmtrade,EUR-USDC,Solana,77.21498,5184663
curve-dex,USDC-SUSDAT,Ethereum,48.89,3531964
saturn,SUSDAT,Ethereum,42.8858,104742691
hyperion,SUSDE-USDC,Aptos,42.14535,2026684
aerodrome-slipstream,EURC-USDC,Base,32.54347,1795439
unitas,SUSDU,Solana,32.18091,9280001
concrete,CTDEFIUSDT,Ethereum,32.15279,47856524
convex-finance,PMUSD-FRXUSD,Ethereum,29.52149,4421319
pendle,LIMUSD,Hyperliquid L1,28.92627,1271853
mezo-vaults,SMUSD,Mezo,27.25835,7485928
convex-finance,PMUSD-CRVUSD,Ethereum,23.72878,6088377
hyperion,USDT-USDC,Aptos,22.71768,6083128
morpho-blue,GTUSDT,Katana,20.23078,3087260
joe-v2.2,AUSD-USDT,Avalanche,18.74147,3257075
altura,USDT0,Hyperliquid L1,17.48975,23749377
pendle,JRUSDAT,Ethereum,17.00962,1988379
convex-finance,REUSD-SFRXUSD,Ethereum,16.99869,1309401
sprinter,USDC,Base,16.65825,2963259
metrom,USDC,Base,16.49396,1245926
pendle,SRUSDAT,Ethereum,16.4777,3314264
pendle,REUSDE,Ethereum,16.13952,5660069
curve-dex,AUSD-USDC-USDT0,Monad,16.0742,2877446
pendle,SUPERUSDC,Ethereum,15.96708,1933085
balancer-v3,MSUSD-USDC,Ethereum,15.58986,1688603
penpie,REUSDE,Ethereum,15.39123,1189947
pendle,APYUSD,Ethereum,15.38323,15782531
stake-dao,REUSD-SFRXUSD,Ethereum,15.2935,1587833
mystic-finance-lending,COREUSDT0,Flare,14.9024,21424659
ember-protocol,USDC,Sui,14.72,1175962
thalaswap,USDT-USDC,Aptos,14.6653,2279919
pendle,REUSDE,Ethereum,14.62205,5660069
stake-dao,PMUSD-CRVUSD,Ethereum,14.49437,3443181
3jane-lending,SUSD3,Ethereum,14.3386,7980757
beefy,PMUSD-CRVUSD,Ethereum,14.0291,1202944
pendle,APYUSD,Ethereum,13.94412,15782531
stake-dao,FRXUSD-MSUSD,Ethereum,13.89427,7309171
canto-lending,USDC,Canto,13.33634,1352236
joe-v2.2,AUSD-USDC,Avalanche,13.07423,4593876
beefy,FRXUSD-MSUSD,Ethereum,13.00408,1133195
beefy,WNUSDT0-WNAUSD-WNUSDC,Monad,12.91976,4305942
aerodrome-slipstream,USDC-USDT,Base,12.8877,1257763
convex-finance,FRXUSD-MSUSD,Ethereum,12.88405,6609031
stake-dao,PMUSD-FRXUSD,Ethereum,12.72823,1857063
zircuit-finance,ZVUSDC,Base,12.72469,1499400
pendle,JRUSDAT,Ethereum,12.57264,1988379
ember-protocol,USDC,Sui,12.51831,1584885
ember-protocol,USDC,Ethereum,12.51626,43658937
pendle,SUSDAT,Ethereum,12.39432,12830144
harvest-finance,USDC,Base,12.24,1970851
liqwid,DJED,Cardano,12.19665,1612426
aerodrome-slipstream,USDZ-SUSDZ,Base,12.19337,1251485
yo-protocol,USDC,Base,12.1573,15975111
yo-protocol,USDC,Ethereum,12.1573,3349998
pendle,SUPERUSDC,Ethereum,12.10166,1933085
metrom,USDC,Katana,12.0286,15898033
mainstreet,MSUSD,Ethereum,12.00882,78044785
re,REUSDE,Ethereum,12.00032,19539674
ember-protocol,USDC,Sui,12.0,5404834
bitway,U,BSC,12.0,4377466
avantis,USDC,Base,11.97729,45255445
mim-swap,MIM-USDC,Arbitrum,11.97672,2768667
autofinance,USDC,Ethereum,11.72877,2027436
indigo,IUSD,Cardano,11.68,4843208
velodrome-v2,USDC-MSUSD,OP Mainnet,11.6166,1016423
pendle,SRUSDAT,Ethereum,11.52645,3314264
beefy,MIM-USDC,Arbitrum,11.39371,1244925
pendle,APXUSD,Ethereum,11.19304,28245143
pendle,TMVUSDC,Ethereum,11.08643,1473971
wildcat-protocol,AMBERUSDC,Ethereum,11.0,1735596
mim-swap,MIM-USDT,Arbitrum,10.99811,2261267
pendle,APXUSD,Base,10.97645,3780300
lagoon,TULIPAUSDC,Ethereum,10.76871,8695875
curve-dex,REUSD-SFRXUSD,Ethereum,10.7244,3407299
bracket-vaults,USDC,Ethereum,10.55,2710394
beefy,MSUSD-FRAX-USDC,Ethereum,10.54749,1552392
morpho-blue,ALPHAUSDTPRIME,Hyperliquid L1,10.52215,4143653
bitway,USDT,BSC,10.5,18117353
wildcat-protocol,MNNCUSDC,Ethereum,10.5,1017900
morpho-blue,ALPHAFRAXUSDENHANCED,Ethereum,10.48275,1209013
beefy,MIM-USDT0,Arbitrum,10.41418,1119461
morpho-blue,FEUSDH2,Hyperliquid L1,10.32142,1786504
blackhole-clmm,SUSDE-USDC,Avalanche,10.27747,2259643
apyx-protocol,APXUSD,Ethereum,10.14823,182655923
euler-v2,AUSD,Ethereum,10.13818,1723998
harmonix-finance,USDC,Hyperliquid L1,10.12098,11411518
goldfinch,USDC,Ethereum,10.06459,37242168
ember-protocol,USDC,Sui,10.01351,1480213
dolomite,USD1,Ethereum,10.00889,34387071
bitway,USD1,BSC,10.0,8197827
upshift,COREUSDC,Ethereum,10.0,6276687
metrom,USDT,Katana,9.9895,4137591
morpho-blue,ALPHAUSDCDELTAV2,Ethereum,9.89814,26632282
steakhouse-financial,HIGHYIELDTERMAUSD,Ethereum,9.88471,6395387
penpie,REUSD,Ethereum,9.86586,1054956
lagoon,YIELDUSDT,Ethereum,9.83651,1062313
gaib,SAID,Ethereum,9.80823,18894650
lagoon,9SUSDC,Ethereum,9.76713,4544906
pendle,SUSN,Ethereum,9.68525,1747316
pendle,SUSDAI,Arbitrum,9.62378,13160354
convex-finance,MSUSD-FRAXBP,Ethereum,9.59801,4236638
aave-v3,USDT0,Mantle,9.53522,10322380
morpho-blue,ALPHAUSDCASIAV2,Ethereum,9.51288,8584150
beefy,USDS-STUSDS,Ethereum,9.48717,3684551
pendle,SUSDAI,Arbitrum,9.45348,9748655
berapaw,KODIUSDE-HONEY,Berachain,9.43417,2511676
superform,SUPERUSDC,Base,9.39773,3895130
pendle,JRNUSD,Ethereum,9.31603,1425736
convex-finance,MIM-3CRV,Ethereum,9.26645,5179703
convex-finance,SDOLA-ALUSD,Ethereum,9.23837,1884627
pendle,SUSN,Ethereum,9.18611,1747316
yearn-finance,YBOLD,Ethereum,9.15862,4673755
pendle,REUSD,Ethereum,9.14938,4983609
yieldseeker,USDC,Base,9.11716,1258588
euler-v2,RLUSD,Ethereum,9.102,20520170
morpho-blue,BBQUSDCRESERVOIR,Ethereum,9.0964,5065515
unitas,SUSDU,BSC,9.07188,46472487
pendle,USDAT,Ethereum,9.06365,17984650
felix-cdp,FEUSD,Hyperliquid L1,9.0635,8295202
zerobase-cedefi,USDT,Ethereum,9.0,14438929
zerobase-cedefi,USDT,Arbitrum,9.0,7922125
stake-dao,FRXUSD-EVAUSDT,Ethereum,8.95644,1242244
pendle,JRUSDE,Ethereum,8.94793,2241141
morpho-blue,ALPHAUSDCPRIMEV2,Ethereum,8.92739,2696965
aave-v3,USDC,Ethereum,8.90377,47616877
kai-finance,USDT,Sui,8.88479,1445756
convex-finance,REUSD-SCRVUSD,Ethereum,8.81855,4456883
beefy,MIM-DAI-USDC-USDT,Ethereum,8.7984,1113071
inverse-finance-firm,SDOLA,Ethereum,8.79237,4188362
zerobase-cedefi,USDT,BSC,8.76,24346483
zerobase-cedefi,USDC,BSC,8.76,2041997
curve-dex,REUSD-SUSDE,Ethereum,8.76,1430249
berapaw,KODISUSDE-HONEY,Berachain,8.74421,4446430
strata-markets,JRUSDAT,Ethereum,8.71826,5633747
morpho-blue,FEUSDC2,Hyperliquid L1,8.68023,27761039
morpho-blue,CSUSDC,Base,8.6665,2920591
uniswap-v3,EUROC-USDC,Ethereum,8.63926,5312726
morpho-blue,SENPYUSDPRIMEV2,Ethereum,8.63129,32913747
neverland,USDC,Monad,8.61296,13760740
neverland,AUSD,Monad,8.57297,10472747
pendle,SAVUSD,Ethereum,8.52171,3227557
blend-pools-v2,USDC,Stellar,8.47957,10930776
beefy,REUSD-SCRVUSD,Ethereum,8.459,1249839
pendle,SNUSD,Ethereum,8.43633,23606190
pendle,SRNUSD,Ethereum,8.40241,1780585
euler-v2,PYUSD,Ethereum,8.38285,29892017
avant-avusd,SAVUSD,Avalanche,8.36155,70606995
lagoon,SYNUSD+,Ethereum,8.35616,2317248
metrom,AUSD,Katana,8.3466,1726597
morpho-blue,ALPHAUSDCCOREV2,Ethereum,8.26576,10917430
morpho-blue,FAUSDE,Ethereum,8.26176,23388527
morpho-blue,SDFRXUSDV2,Ethereum,8.25367,7093364
felix-cdp,FEUSD,Hyperliquid L1,8.21083,1241202
pendle,SUSDAI,Arbitrum,8.19601,13160354
benqi-lending,USDC,Avalanche,8.16862,2100717
pendle,JRUSDE,Ethereum,8.15329,2241141
dolomite,USDC,Ethereum,8.12525,28830112
superform,SUPERUSDC,Ethereum,8.0927,14461937
pendle,REUSD,Ethereum,8.09181,4983609
autofinance,USDC,Base,8.08051,7551882
pendle,MSUSD,Ethereum,8.06611,1315139
pendle,SUSDAI,Arbitrum,8.00942,9748655
pendle,TMVUSDC,Ethereum,8.00001,1473971
current,USDC,Sui,7.96237,4086951
curvance,AUSD,Monad,7.95516,1012645
uniswap-v3,USDE-USDC,Ethereum,7.93281,2286364
fluid-lite,USDC,Ethereum,7.89,37990667
lagoon,GAMIUSDC,Ethereum,7.83664,3082938
pendle,JRNUSD,Ethereum,7.81851,1425736
strata-markets,SRUSDAT,Ethereum,7.78758,7845534
curve-dex,FRXUSD-EVAUSDT,Ethereum,7.77581,1242302
pendle,LIMUSD,Hyperliquid L1,7.7649,1271853
convex-finance,GHO-CRVUSD,Ethereum,7.63404,1176217
morpho-blue,BBQUSD1,Monad,7.62688,3989630
stake-dao,EVAUSDT-EVAUSDC,Ethereum,7.616,3038154
ember-protocol,USDC,Sui,7.54915,1806351
navi-lending,USDSUI,Sui,7.48319,2805972
current,USDSUI,Sui,7.4506,2432069
yearn-finance,VBUSDT,Katana,7.44997,5223817
aave-v3,USDT,Ethereum,7.41684,70896041
morpho-blue,AUGUSTUSDCV2,Ethereum,7.37542,5354747
yuzu-money,SYZUSD,Plasma,7.36356,27387794
yuzu-money,SYZUSD,Monad,7.36356,11942640
yuzu-money,SYZUSD,Ethereum,7.36356,2314475
beefy,MIM-DAI-USDC-USDT,Ethereum,7.33044,4071073
smardex-usdn,USDN,Ethereum,7.32935,1122920
morpho-blue,HYPERUSDCA,Monad,7.30571,17312613
strata-markets,JRNUSD,Ethereum,7.3007,4665734
curve-dex,AMDAI-AMUSDC-AMUSDT,Polygon,7.27,2463461
curvance,AUSD,Monad,7.20953,2228265
curve-dex,REUSD-SCRVUSD,Ethereum,7.2092,5992076
strata-markets,JRUSDE,Ethereum,7.206,10037536
convex-finance,ALUSD-FRXUSD,Ethereum,7.18871,3854524
spectra-v2,SAVUSD,Avalanche,7.17618,3209443
aave-v3,GHO,Ethereum,7.15,13991678
loopscale,USDC,Solana,7.13022,1799028
usd-ai,SUSDAI,Arbitrum,7.1,296918636
mu-digital,LOAZND,Ethereum,7.04625,2359133
curve-dex,PMUSD-CRVUSD,Ethereum,7.02541,6859489
yearn-finance,YVUSD,Ethereum,7.02374,2676547
gains-network,USDC,Arbitrum,7.00866,5146007
morpho-blue,FEUSDT02,Hyperliquid L1,6.97328,1767533
beefy,FXUSD-USDC,Ethereum,6.95514,2225376
morpho-blue,AUGUSTUSDCV2,Monad,6.8373,12939960
morpho-blue,RE7USDC,Wc,6.82304,6916656
pendle,USDAI,Arbitrum,6.79798,35671435
morpho-blue,CSUSDCCORE,Ethereum,6.78401,7626490
curve-dex,FRXUSD-MSUSD,Ethereum,6.75845,10675005
pendle,SUSDAT,Ethereum,6.73981,12830144
fluid-lending,USDC,Arbitrum,6.71,45811418
curve-dex,EVAUSDT-EVAUSDC,Ethereum,6.68097,3038156
spectra-metavaults,USDC,Base,6.67555,5589311
convex-finance,USDC-USDF,Ethereum,6.67234,1879344
deltaprime,USDC,Avalanche,6.64468,1039711
balancer-v3,EURE-AAVEUSDC,Arbitrum,6.6224,1231298
morpho-blue,CSUSDC,Ethereum,6.61311,9788979
morpho-blue,ALPHAUSDCENHANCEDV2,Ethereum,6.57872,2367483
pendle,SNUSD,Ethereum,6.56716,23606190
lista-lending,USDC,Ethereum,6.54745,5204643
symbiosis,USDT,Tron,6.51652,1246451
neverland,USDT0,Monad,6.48177,8125799
blackhole-clmm,USDT-USDC,Avalanche,6.46909,9139815
beefy,USDF-USDC,Ethereum,6.43501,1248028
curve-dex,SDOLA-ALUSD,Ethereum,6.41856,2232896
morpho-blue,HYPERUSDCA,Ethereum,6.41106,10180522
pendle,CUSD,Ethereum,6.40395,2428694
pendle,SAVUSD,Ethereum,6.38378,3227557
ember-protocol,USDC,Sui,6.36982,2777366
pendle,STCUSD,Ethereum,6.36709,3962588
berapaw,RE7HONEY,Berachain,6.35368,11651816
extra-finance-leverage-farming,USDC,Base,6.33492,3651591
tydro,USDG,Ink,6.33344,1676321
stake-dao,EUSD-USDC,Ethereum,6.30978,1140717
pendle,USD3,Ethereum,6.2805,1052536
jupiter-lend,USDG,Solana,6.25747,6298028
ember-protocol,USDC,Ethereum,6.22359,4518867
pendle,SUSDF,Ethereum,6.18847,1818167
curve-dex,PMUSD-FRXUSD,Ethereum,6.17237,5864075
lista-lending,USDT,BSC,6.16593,5725223
convex-finance,EUSD-USDC,Ethereum,6.14196,2117107
yearn-finance,USDS,Ethereum,6.13714,6963606
yearn-finance,VBUSDC,Katana,6.12115,7496602
re,REUSD,Ethereum,6.09829,177891678
symbiosis,USDC,Ethereum,6.096,1214873
fx-protocol,FXUSDSTABILITYPOOLV2.0,Ethereum,6.07,51360439
fluid-lending,GHO,Arbitrum,6.06,3397121
uniswap-v3,RLUSD-USDC,Ethereum,6.00606,3390501
parallel-protocol-v3,SUSDP,Avalanche,6.0,1350711
morpho-blue,GTDAICORE,Ethereum,5.93219,1630967
velodrome-v2,USDC-ALUSD,OP Mainnet,5.91377,1594957
storm-trade,USDT,TON,5.8778,3688338
fluid-lending,USDC,Base,5.86,13264430
convex-finance,SCRVUSD-SUSDE,Ethereum,5.84164,1581397
aave-v3,USDC,Avalanche,5.79394,5486397
aave-v3,USDTB,Ethereum,5.7891,38526714
beefy,EUSD-USDC,Ethereum,5.78039,1265463
extra-finance-leverage-farming,MSUSD-USDC,Base,5.77373,1089690
lantern-staked-sol,LANTERNSOL,Solana,5.74217,3848798
origin-dollar,OUSD,Ethereum,5.74212,5164275
ember-protocol,USDC,Ethereum,5.73014,2785269
raydium-amm,USDC-USDT,Solana,5.69761,4506479
ample,USDC,Base,5.69592,4332279
kyberswap-fairflow,USDE-USDT,Ethereum,5.65977,1358510
lista-lending,USDT,Ethereum,5.65044,5993041
